species,web_local,mode
Dryobates_pubescens,web=GCA_000699005.1
Dryoscopus_gambensis,web=GCA_013389985.1
Dugong_dugon,web=GCA_015147995.1
Dunckerocampus_dactyliophorus,web=GCA_901007775.1
Echeneis_naucrates,web=GCA_900963305.2
Echinops_telfairi,web=GCA_000313985.2
Eclectus_roratus,web=GCA_011763535.1
Ectodus_descampsii,web=GCA_015104995.1
Edolisoma_coerulescens,web=GCA_013397115.1
Egretta_garzetta,web=GCA_000687185.1
Eidolon_helvum,web=GCA_000465285.1
Elachura_formosa,web=GCA_013398795.1
Elaphurus_davidianus,web=GCA_002443075.1
Electrophorus_electricus,web=GCA_013358815.1
Elephantulus_edwardii,web=GCA_000299155.1
Elephas_maximus,web=GCA_014332765.1
Eleutheronema_tetradactylum,web=GCA_014490765.1
Ellobius_lutescens,web=GCA_001685075.1
Emberiza_fucata,web=GCA_013398835.1
Empidonax_traillii,web=GCA_003031625.1
Emydocephalus_ijimae,web=GCA_004319985.1
Emydura_subglobosa,web=GCA_007922225.1
Enantiopus_melanogenys,web=GCA_015103415.1
Enhydra_lutris_kenyoni,web=GCA_002288905.2
Entelurus_aequoreus,web=GCA_901007785.1
Entosphenus_tridentatus,web=GCA_014621495.2
Eolophus_roseicapilla,web=GCA_013397615.1
Eonycteris_spelaea,web=GCA_003508835.1
Eopsaltria_australis,web=GCA_003426825.1
Epinephelus_lanceolatus,web=GCA_005281545.1
Eptatretus_burgeri,web=GCA_900186335.2
Eptesicus_fuscus,web=GCA_000308155.1
Equus_caballus,web=GCA_002863925.1
Eremophila_alpestris_peregrina,web=GCA_009792885.1
Erethizon_dorsatum,web=GCA_006547115.1
Eretmodus_marksmithi,web=GCA_015110455.1
Erinaceus_europaeus,web=GCA_000296755.1
Erithacus_rubecula,web=GCA_903797595.2
Erpetoichthys_calabaricus,web=GCA_900747795.4
Erpornis_zantholeuca,web=GCA_013400515.1
Erythrocebus_patas,web=GCA_004027335.1
Erythrocercus_mccallii,web=GCA_013397435.1
Eschrichtius_robustus,web=GCA_002189225.1
Esox_lucius,web=GCA_011004845.1
Etheostoma_spectabile,web=GCA_008692095.1
Etia_nguti,web=GCA_015106755.1
Etroplus_canarensis,web=GCA_015106775.1
Eubalaena_japonica,web=GCA_004363455.1
Eubucco_bourcierii,web=GCA_013396675.1
Eudorcas_thomsonii,web=GCA_006408755.1
Eudromia_elegans,web=GCA_003342815.1
Eudyptes_sclateri,web=GCA_010078445.1
Eudyptula_novaehollandiae,web=GCA_010078495.1
Eulacestoma_nigropectus,web=GCA_013397775.1
Eulemur_macaco,web=GCA_001262655.1
Eumetopias_jubatus,web=GCA_004028035.1
Eupsittula_pertinax,web=GCA_011317185.1
Eurypyga_helias,web=GCA_000690775.1
Eurystomus_gularis,web=GCA_013400335.1
Falco_peregrinus,web=GCA_000337955.1
Falcunculus_frontatus,web=GCA_013398115.1
Felis_catus,web=GCA_000181335.4
Ficedula_albicollis,web=GCA_000247815.2
Fistularia_tabacaria,web=GCA_901007705.1
